frag_from,frag_to,chemotype_from,chemotype_to,layer,cross_layer,undirected_key,direction,n_pairs,n_contexts,core_heavy,frag_heavy_max,frag_heavy_diff,frag_ratio,core_over_frag,mean_d_Hf,std_d_Hf,z_Hf,p_Hf,sign_consistency_Hf,sig_Hf,mean_d_Q,std_d_Q,z_Q,p_Q,sign_consistency_Q,sig_Q,mean_d_OBgood,std_d_OBgood,z_OBgood,p_OBgood,sign_consistency_OBgood,sig_OBgood,mean_d_Pe,std_d_Pe,z_Pe,p_Pe,sign_consistency_Pe,sig_Pe,mean_d_D,std_d_D,z_D,p_D,sign_consistency_D,sig_D,mean_d_P,std_d_P,z_P,p_P,sign_consistency_P,sig_P,mean_d_IS,std_d_IS,z_IS,p_IS,sign_consistency_IS,sig_IS,composite_z,composite_gated,n_improve,n_worsen,has_tradeoff,composite_props
[*:1]c1nc([*:2])n(C)n1,[*:2]c1nnc([N+](=O)[O-])n1[*:1],azole_ring,nitro,linker,False,*c1nc(*)n(C)n1||*c1nnc([N+](=O)[O-])n1*,canonical,369,369,12.7263,8,2,0.385983,1.59079,43.4185,9.20122,0.865569,8.72966e-254,1,True,350.1,103.582,2.30303,1.2408e-203,1,True,38.697,7.43624,2.1516,8.17709e-269,1,True,0.164731,0.0461432,2.09144,1.03696e-211,1,True,1.07556,0.152194,2.39238,0,1,True,8.70352,1.12264,2.35703,0,1,True,-86.0938,123.719,-0.841894,1.70207e-33,0.222222,True,12.1611,12.1611,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nnc([*:2])n1C,[*:1]c1nnn([*:2])c1[N+](=O)[O-],azole_ring,nitro,linker,False,*c1nnc(*)n1C||*c1nnn(*)c1[N+](=O)[O-],canonical,384,384,12.6693,8,2,0.387048,1.58366,44.2279,9.31687,0.881705,5.36127e-265,1,True,355.82,107.111,2.34066,3.3212e-209,1,True,38.8333,7.70857,2.15918,1.7436e-274,1,True,0.16449,0.0499396,2.08839,6.61262e-208,1,True,1.04891,0.160822,2.33309,0,1,True,8.51227,1.14974,2.30524,0,1,True,-83.177,129.304,-0.813371,1.02626e-30,0.208333,True,12.1083,12.1083,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nn(N=[N+]=[N-])nc1[*:2],azole_ring,azide,linker,False,*c1nc(*)n(C)n1||*c1nn(N=[N+]=[N-])nc1*,canonical,474,474,12.6814,8,2,0.38682,1.58518,128.319,3.84377,2.5581,0,1,True,316.558,80.531,2.08239,5.48641e-290,1,True,26.8336,5.52171,1.49198,0,1,True,0.186037,0.0559022,2.36195,3.29604e-258,1,True,0.844316,0.164353,1.87801,0,1,True,6.39854,0.875922,1.73281,0,1,True,-27.089,101.034,-0.264898,9.8614e-09,0.386076,True,12.1052,12.1052,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nnc([*:2])n1C,[*:1]c1nnn(N[N+](=O)[O-])c1[*:2],azole_ring,nitramine,linker,False,*c1nnc(*)n1C||*c1nnn(N[N+](=O)[O-])c1*,canonical,443,443,12.7652,9,3,0.413503,1.41836,54.197,4.32804,1.08044,0,1,True,316.098,103.832,2.07936,7.38089e-226,1,True,37.5398,7.6673,2.08726,0,1,True,0.175607,0.0444271,2.22953,4.04238e-272,1,True,1.03564,0.151877,2.30357,0,1,True,8.34256,0.972907,2.25928,0,1,True,-108.261,130.9,-1.05866,4.59778e-52,0.1693,True,12.0394,12.0394,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnc([N+](=O)[O-])n1[*:2],azole_ring,nitro,linker,False,*c1nc(*)n(C)n1||*c1nnc([N+](=O)[O-])n1*,canonical,405,405,12.7852,8,2,0.38489,1.59815,42.6028,9.03143,0.849307,2.38031e-278,1,True,347.029,102.112,2.28283,3.1045e-224,1,True,38.5622,7.12321,2.14411,1.33075e-301,1,True,0.161243,0.0470908,2.04716,1.90387e-225,1,True,1.06259,0.15052,2.36351,0,1,True,8.58392,1.12296,2.32464,0,1,True,-73.0182,130.886,-0.714031,1.21532e-25,0.271605,True,12.0116,12.0116,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nnc([*:2])n1C,[*:1]c1nnn([N+](=O)[O-])c1[*:2],azole_ring,nitro,linker,False,*c1nnc(*)n1C||*c1nnn([N+](=O)[O-])c1*,canonical,415,415,12.7084,8,2,0.386316,1.58855,43.325,5.09988,0.863704,0,1,True,349.365,111.116,2.2982,6.12638e-217,1,True,38.6454,7.63908,2.14873,2.93323e-297,1,True,0.161985,0.0494915,2.05658,1.59951e-223,1,True,1.04658,0.1603,2.32791,0,1,True,8.52271,1.11315,2.30806,0,1,True,-85.5368,135.016,-0.836448,2.90833e-32,0.209639,True,12.0032,12.0032,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nnc([*:2])n1C,[*:1]c1nnn(N=[N+]=[N-])c1[*:2],azole_ring,azide,linker,False,*c1nnc(*)n1C||*c1nnn(N=[N+]=[N-])c1*,canonical,447,447,12.4027,8,2,0.392105,1.55034,125.91,4.20882,2.51008,0,1,True,312.482,79.675,2.05557,3.84378e-273,1,True,27.5104,5.84741,1.52961,1.41169e-306,1,True,0.183044,0.0570708,2.32394,4.73947e-237,1,True,0.831431,0.168331,1.84935,0,1,True,6.25472,0.877863,1.69386,0,1,True,-32.7604,98.1513,-0.320357,6.55372e-12,0.337808,True,11.9624,11.9624,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nn([*:2])nc1N[N+](=O)[O-],azole_ring,nitramine,linker,False,*c1nc(*)n(C)n1||*c1nn(*)nc1N[N+](=O)[O-],canonical,353,353,12.9462,9,3,0.410094,1.43846,52.536,8.43254,1.04733,6.5248e-284,1,True,304.263,95.9121,2.00151,5.32093e-186,1,True,36.7653,7.08502,2.0442,8.42578e-257,1,True,0.170938,0.0398203,2.17024,4.70481e-229,1,True,1.05675,0.137693,2.35052,0,1,True,8.61268,0.990007,2.33243,0,1,True,-87.2634,125.938,-0.853331,6.71795e-32,0.195467,True,11.9462,11.9462,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nc([*:2])n(C)n1,[*:1]c1nnn([*:2])c1N=[N+]=[N-],azole_ring,azide,linker,False,*c1nc(*)n(C)n1||*c1nnn(*)c1N=[N+]=[N-],canonical,379,379,12.6649,8,2,0.38713,1.58311,126.151,8.06527,2.51488,0,1,True,309.924,80.0609,2.03874,8.31253e-230,1,True,26.9386,5.54372,1.49782,3.04918e-265,1,True,0.18097,0.0562386,2.29761,1.01324e-201,1,True,0.835204,0.162258,1.85774,2.46229e-274,1,True,6.31248,0.873104,1.70951,0,1,True,-28.2581,100.435,-0.27633,7.88806e-08,0.372032,True,11.9163,11.9163,6,0,False,Hf|Q|OBgood|Pe|D|P
[*:1]c1nnn(C)n1,[*:1]c1nnnn1[N+](=O)[O-],azole_ring,nitro,scaffold,False,*c1nnn(C)n1||*c1nnnn1[N+](=O)[O-],canonical,252,252,11.9841,8,2,0.400318,1.49802,38.1068,4.71129,0.759678,6.18187e-231,1,True,344.956,104.94,2.2692,9.45768e-137,1,True,40.3829,7.65312,2.24534,1.83923e-185,1,True,0.151724,0.0445278,1.9263,2.39172e-140,1,True,1.06124,0.151036,2.36052,7.4161e-216,1,True,8.65532,1.10745,2.34398,2.97698e-227,1,True,-118.605,128.947,-1.15981,2.27269e-35,0.15873,True,11.905,11.905,6,0,False,Hf|Q|OBgood|Pe|D|P
