rule_id,frag_from,frag_to,chemotype_from,chemotype_to,radius,env_id,n_pairs_env,n_pairs_global,context_chemotypes,context_example,n_props_sign_flip_vs_global,mean_d_Hf,z_Hf,mean_d_Q,z_Q,mean_d_OBgood,z_OBgood,mean_d_Pe,z_Pe,mean_d_D,z_D,mean_d_P,z_P,mean_d_IS,z_IS
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,54548054,4,2457,azide:4;azole_ring:4;nitramine:2;nitro:2,[*:2]N=[N+]=[N-].[*:1]c1cc(C)[nH]n1,6,-19.8775,-0.396268,-84.4594,-0.555592,0,0,-0.064075,-0.813503,-0.105878,-0.235505,-0.62335,-0.168811,-45.215,-0.442148
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,54945009,4,2457,azide:4;azole_ring:4;amino:1;nitramine:1,[*:2]N=[N+]=[N-].[*:1]c1nc(N)c(N=[N+]=[N-])[nH]1,6,-17.4575,-0.348024,-79.8412,-0.525213,0,0,-0.0601,-0.763036,-0.0976975,-0.217308,-0.569205,-0.154148,-58.598,-0.573018
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,54128164,3,2457,azide:3;azole_ring:3;nitro:2;amino:1,[*:2]N=[N+]=[N-].[*:1]c1c(C)n[nH]c1C,6,-18.4367,-0.367544,-80.0321,-0.526468,0,0,-0.0599333,-0.76092,-0.172097,-0.382796,-1.21815,-0.329891,-20.9375,-0.204744
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,129022147,3,2457,nitro:3;azole_ring:3;azide:1;amino:1,[*:2][N+](=O)[O-].[*:1]c1c[nH]nc1C,6,-4.13333,-0.0824,-18.6402,-0.122619,0,0,-0.0126,-0.159971,-0.0634837,-0.141207,-0.521779,-0.141305,-1.82,-0.0177974
1767,[*:1]c1n[nH]c([*:2])n1,[*:1]c1nnc([*:2])[nH]1,azole_ring,azole_ring,2,163253735,3,464,nitro:3;azole_ring:3;hydroxyl:2,[*:2][N+](=O)[O-].[*:1]n1nnc(C)c1O,6,-0.916667,-0.0182742,-4.30756,-0.028336,0,0,-0.00283333,-0.0359723,-0.0423106,-0.0941115,-0.411198,-0.111358,-21.3967,-0.209234
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,12653618,71,2457,azo:50;azole_ring:50;amino:50;nitro:34,[*:2]N.[*:1]N=Nc1[nH]cnc1[N+](=O)[O-],5,-11.5961,-0.231173,-45.5888,-0.299893,0,0,-0.035462,-0.450229,-0.0357844,-0.0795952,-0.141099,-0.0382115,65.4034,0.639567
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,2441621,70,2457,hydrazo:50;azole_ring:50;amino:50;nitro:33,[*:1]C.[*:2]NNc1[nH]c(N[N+](=O)[O-])nc1N[N+](=O)[O-],5,-12.8333,-0.255838,-48.333,-0.317945,0,0,-0.0406286,-0.515825,-0.0350048,-0.0778612,-0.0921539,-0.0249565,15.1433,0.148083
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,50095775,62,2457,azide:50;hydrazo:50;azole_ring:50;amino:50,[*:2]N=[N+]=[N-].[*:1]NNc1[nH]cnc1O,5,-4.02828,-0.0803057,-14.6053,-0.0960767,0,0,-0.0117258,-0.148872,-0.0154909,-0.0344563,-0.0797328,-0.0215927,0.384397,0.00375894
11,[*:1]c1nnnn1[*:2],[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,809,58,1293,azo:50;azole_ring:50;nitro:33;amino:21,[*:1]C.[*:2]N=Nc1[nH]c(O)nc1O,5,-9.59293,-0.19124,-38.399,-0.252597,0,0,-0.0305931,-0.388413,-0.0477479,-0.106206,-0.244032,-0.0660872,-7.65421,-0.074849
11,[*:1]c1nnnn1[*:2],[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,24782306,57,1293,azide:50;azo:50;azole_ring:50;nitro:30,[*:1]N=Nc1[nH]c(O)nc1C.[*:2]N=[N+]=[N-],5,-13.5089,-0.269307,-49.1632,-0.323406,0,0,-0.0365281,-0.463764,-0.0675718,-0.1503,-0.46154,-0.124991,-13.1098,-0.128198
