fragment,chemotype,layer,n_attach,frag_heavy,n_total_pairs,n_contexts,A_Hf,s_Hf,n_Hf,fpos_Hf,t_Hf,A_Q,s_Q,n_Q,fpos_Q,t_Q,A_OBgood,s_OBgood,n_OBgood,fpos_OBgood,t_OBgood,A_Pe,s_Pe,n_Pe,fpos_Pe,t_Pe,A_D,s_D,n_D,fpos_D,t_D,A_P,s_P,n_P,fpos_P,t_P,A_IS,s_IS,n_IS,fpos_IS,t_IS
[*:1]c1nc(O)nn1[*:2],azole_ring,linker,2,6,38774,3003,-59.7898,35.6244,38774,0.010703,-330.484,-105.763,113.73,38774,0.192603,-183.116,2.14517,13.0901,38774,0.451282,32.2692,-0.094179,0.0626775,38774,0.0639088,-295.878,-0.11876,0.334962,38774,0.335586,-69.8144,-0.630413,2.7185,38774,0.381802,-45.6633,-20.1086,91.5731,38774,0.406896,-43.2398
[*:1][H],other,substituent,1,0,38630,29950,-10.8321,34.7252,38630,0.391665,-61.3097,-56.9008,133.59,38630,0.385478,-83.7159,-11.2588,15.3826,38630,0.221046,-143.855,-0.0195637,0.0597822,38630,0.412684,-64.3195,-0.246766,0.36008,38630,0.173207,-134.694,-2.12696,2.9169,38630,0.168496,-143.318,19.9081,91.0554,38630,0.611649,42.9721
[*:1]c1nc([N+](=O)[O-])nn1[*:2],nitro,linker,2,8,38394,2968,-11.9701,36.458,38394,0.401104,-64.3334,92.1751,119.377,38394,0.730687,151.295,15.6131,13.3247,38394,0.838881,229.596,0.0117893,0.0603344,38394,0.523754,38.2872,0.31695,0.329355,38394,0.778299,188.564,2.79191,2.69973,38394,0.806428,202.634,-22.6832,95.3389,38394,0.395478,-46.6193
[*:1]c1nc(N[N+](=O)[O-])nn1[*:2],nitramine,linker,2,9,38302,2845,-3.33765,36.7757,38302,0.532296,-17.7619,56.2709,116.148,38302,0.60848,94.8165,14.1987,13.2873,38302,0.74594,209.133,0.0227917,0.0590524,38302,0.596783,75.5352,0.308635,0.32435,38302,0.767062,186.227,2.64595,2.66259,38302,0.781474,194.486,-32.4578,90.8064,38302,0.347162,-69.9541
[*:1][N+](=O)[O-],nitro,substituent,1,3,38259,30019,-0.511584,36.1643,38259,0.644816,-2.76696,160.388,110.45,38259,0.989127,284.035,19.4938,12.9529,38259,0.966805,294.371,0.0500422,0.052856,38259,0.798819,185.186,0.452408,0.303275,38259,0.92292,291.783,3.84387,2.44867,38259,0.928252,307.047,-40.4401,93.4149,38259,0.288481,-84.6765
[*:1]c1nc(N[N+](=O)[O-])n([*:2])n1,nitramine,linker,2,9,38070,2843,-3.20262,36.4862,38070,0.534778,-17.1265,55.3703,116.221,38070,0.604255,92.9572,14.0282,13.2315,38070,0.73814,206.863,0.0226086,0.0591034,38070,0.593354,74.6368,0.311757,0.32454,38070,0.778671,187.43,2.68906,2.66923,38070,0.798371,196.565,-34.8762,92.58,38070,0.338245,-73.5026
[*:1]c1ncn([*:2])n1,azole_ring,linker,2,5,37768,2954,-19.0611,36.1252,37768,0.301975,-102.541,-68.5987,118.006,37768,0.320933,-112.973,-7.91132,13.3058,37768,0.206259,-115.55,-0.042306,0.0622719,37768,0.253601,-132.03,-0.249912,0.334272,37768,0.175731,-145.294,-2.06243,2.69797,37768,0.168926,-148.56,17.2654,98.8663,37768,0.599476,33.9383
[*:1]c1nc([N+](=O)[O-])n([*:2])n1,nitro,linker,2,8,37688,2916,-8.54357,36.2838,37688,0.447782,-45.7118,102.738,119.487,37688,0.777197,166.921,15.4089,13.3542,37688,0.83313,224.004,0.0199925,0.06032,37688,0.57976,64.3439,0.315038,0.330326,37688,0.777781,185.149,2.71911,2.70631,37688,0.795028,195.052,-33.2413,92.5669,37688,0.319226,-69.7147
[*:1]c1nn([*:2])nc1C,azole_ring,linker,2,6,37638,2990,-15.8534,36.377,37638,0.342765,-84.5492,-110.269,118.367,37638,0.185823,-180.732,-23.3604,13.2098,37638,0,-343.081,-0.0393307,0.0619569,37638,0.261704,-123.156,-0.582181,0.328095,37638,0.0824167,-344.248,-4.94497,2.71859,37638,0.0734896,-352.884,31.5029,111.751,37638,0.644614,54.6905
[*:1]c1nn([*:2])nc1N,azole_ring,linker,2,6,37437,2999,-7.15445,36.9376,37437,0.479472,-37.4764,-87.5129,115.83,37437,0.251169,-146.185,-7.71691,12.9898,37437,0.198841,-114.945,-0.0133971,0.0625571,37437,0.40305,-41.4366,-0.115072,0.330847,37437,0.32126,-67.2964,-1.00858,2.69586,37437,0.310922,-72.3879,12.1144,92.153,37437,0.584422,25.4357
