fragment,chemotype,layer,n_attach,frag_heavy,n_total_pairs,n_contexts,A_Hf,s_Hf,n_Hf,fpos_Hf,t_Hf,A_Q,s_Q,n_Q,fpos_Q,t_Q,A_OBgood,s_OBgood,n_OBgood,fpos_OBgood,t_OBgood,A_Pe,s_Pe,n_Pe,fpos_Pe,t_Pe,A_D,s_D,n_D,fpos_D,t_D,A_P,s_P,n_P,fpos_P,t_P,A_IS,s_IS,n_IS,fpos_IS,t_IS
[*:1]n1ncnn1,azole_ring,scaffold,1,5,6362,1852,-7.75835,35.4606,6362,0.47045,-17.451,-20.3749,120.779,6362,0.459132,-13.4555,-7.44548,13.7324,6362,0.207325,-43.2456,-0.00350547,0.0592619,6362,0.458975,-4.7181,-0.181719,0.339085,6362,0.224143,-42.7452,-1.66583,2.77128,6362,0.186105,-47.9455,18.6302,99.1711,6362,0.605156,14.984
[*:2]c1nc(N)n([*:1])n1,azole_ring,linker,2,6,6356,2634,-18.0138,34.9624,6356,0.326935,-41.0768,-125.87,123.397,6356,0.170233,-81.3224,-3.87682,13.5997,6356,0.320642,-22.7267,-0.0508219,0.068841,6356,0.224827,-58.8567,-0.0857484,0.355475,6356,0.344714,-19.2313,-0.552465,2.87355,6356,0.382945,-15.3277,17.0404,104.348,6356,0.59613,13.0192
[*:1]n1cnnn1,azole_ring,scaffold,1,5,6305,1855,-5.78183,36.2282,6305,0.524822,-12.6725,-11.2927,117.386,6305,0.504203,-7.63879,-7.49039,13.204,6305,0.200159,-45.0446,0.00315745,0.0594662,6305,0.510864,4.21608,-0.161789,0.328438,6305,0.269786,-39.1146,-1.51317,2.67857,6305,0.220777,-44.8568,28.45,99.6713,6305,0.639175,22.6649
[*:1]n1nnc(N)n1,azole_ring,scaffold,1,6,6258,1807,-12.2207,37.3869,6258,0.417066,-25.8579,-107.238,119.452,6258,0.209332,-71.0186,-6.772,13.5558,6258,0.233301,-39.5193,-0.0257866,0.057578,6258,0.340045,-35.4288,-0.120257,0.339666,6258,0.294823,-28.0075,-1.01257,2.78756,6258,0.290348,-28.7356,1.70063,94.7491,6258,0.564877,1.41988
[*:1]n1nnnc1C,azole_ring,scaffold,1,6,6248,1815,-19.6841,36.8063,6248,0.31226,-42.2731,-130.493,123.534,6248,0.138444,-83.4969,-23.9372,13.3721,6248,0,-141.496,-0.0496894,0.0595643,6248,0.21911,-65.9398,-0.59887,0.333162,6248,0.0981114,-142.085,-5.02736,2.74914,6248,0.0901088,-144.549,63.0847,116.324,6248,0.729033,42.8672
[*:1]n1nnnc1N,azole_ring,scaffold,1,6,6248,1826,-11.4214,36.5279,6248,0.416453,-24.7152,-104.283,118.624,6248,0.21943,-69.4882,-6.69474,13.6199,6248,0.242157,-38.8534,-0.0247642,0.0584702,6248,0.347151,-33.4781,-0.0877599,0.34501,6248,0.358675,-20.1064,-0.692645,2.83976,6248,0.356434,-19.2797,44.907,102.009,6248,0.697823,34.7974
[*:1]n1nnnc1O,azole_ring,scaffold,1,6,6234,1808,-48.0523,35.5679,6234,0.0343279,-106.669,-55.3596,117.443,6234,0.37889,-37.2177,3.0609,13.607,6234,0.492942,17.7612,-0.0575339,0.0580426,6234,0.19137,-78.2638,-0.00941762,0.343945,6234,0.471447,-2.1619,0.189859,2.82419,6234,0.513795,5.30788,-5.77375,101.911,6234,0.483478,-4.47324
[*:1]n1nnc(C)n1,azole_ring,scaffold,1,6,6221,1820,-21.3194,36.2002,6221,0.277126,-46.4508,-135.761,123.46,6221,0.105128,-86.7321,-23.7051,13.3574,6221,0,-139.975,-0.0546378,0.0583989,6221,0.175534,-73.7936,-0.612858,0.327718,6221,0.0814982,-147.499,-5.14637,2.71098,6221,0.0749076,-149.729,53.4855,114.038,6221,0.703424,36.9928
[*:1]n1nnc(O)n1,azole_ring,scaffold,1,6,6143,1810,-50.8864,35.8903,6143,0.0120462,-111.126,-63.1169,116.145,6143,0.337457,-42.5926,3.00081,13.4815,6143,0.49064,17.4457,-0.0643041,0.0565135,6143,0.140811,-89.182,-0.0432027,0.337421,6143,0.42113,-10.0353,-0.111148,2.76572,6143,0.463292,-3.14981,-42.1046,92.0647,6143,0.333388,-35.8448
[*:1]n1nnc([N+](=O)[O-])n1,nitro,scaffold,1,8,6109,1778,-0.774952,37.1967,6109,0.600589,-1.62838,138.357,125.589,6109,0.888034,86.1063,16.7729,13.5932,6109,0.858897,96.4429,0.0422421,0.0582929,6109,0.698641,56.6389,0.375174,0.335197,6109,0.84351,87.4819,3.18851,2.75106,6109,0.854804,90.5885,-46.8126,95.3516,6109,0.271894,-38.3725
[*:1]n1nnnc1N=[N+]=[N-],azide,scaffold,1,8,6089,1763,75.67,34.8391,6089,0.920677,169.484,64.8401,117.754,6089,0.635901,42.9674,4.54612,13.7098,6089,0.554442,25.8751,0.0348106,0.0588097,6089,0.670061,46.1888,0.0828606,0.346392,6089,0.559369,18.6661,0.404336,2.83323,6089,0.535227,11.1361,35.3547,95.1039,6089,0.676137,29.0082
[*:1]n1nnc(N=[N+]=[N-])n1,azide,scaffold,1,8,6061,1773,72.1875,34.8335,6061,0.885497,161.338,52.6482,117.283,6061,0.584227,34.9478,4.4142,13.5681,6061,0.550734,25.3283,0.0260473,0.0584778,6061,0.594126,34.6772,0.0661421,0.3415,6061,0.543805,15.0785,0.294755,2.79664,6061,0.521861,8.20536,-4.26888,102.338,6061,0.510642,-3.24751
[*:1]n1nnnc1[N+](=O)[O-],nitro,scaffold,1,8,5991,1762,5.41361,37.2756,5991,0.708897,11.2412,160.217,124.512,5991,0.969788,99.5974,16.9216,13.738,5991,0.855951,95.3381,0.0580261,0.0578575,5991,0.868136,77.6271,0.394174,0.340253,5991,0.875647,89.6676,3.28411,2.80135,5991,0.863295,90.7405,-64.9035,93.2191,5991,0.168252,-53.8906
[*:2]c1nc(C)nn1[*:1],azole_ring,linker,2,6,5985,2664,-24.8686,35.0347,5985,0.250459,-54.9143,-140.898,123.448,5985,0.13066,-88.2984,-19.8006,13.5989,5985,0,-112.643,-0.06976,0.0690537,5985,0.165246,-78.1541,-0.558229,0.352191,5985,0.0875522,-122.621,-4.57031,2.9034,5985,0.0810359,-121.779,34.3726,105.526,5985,0.652799,25.1992
[*:2]c1nc([*:1])n([N+](=O)[O-])n1,nitro,linker,2,8,5957,2856,-10.1351,35.4721,5957,0.393655,-22.0524,102.069,120.951,5957,0.801578,65.1321,17.4536,12.9156,5957,0.879805,104.3,0.017453,0.0629577,5957,0.54138,21.3961,0.363133,0.321504,5957,0.836663,87.1751,3.16793,2.61298,5957,0.851435,93.5736,-18.3966,90.7157,5957,0.414806,-15.6519
[*:1]n1nnc(N[N+](=O)[O-])n1,nitramine,scaffold,1,9,5840,1690,7.15132,36.1291,5840,0.718151,15.1264,95.6047,121.353,5840,0.708048,60.2052,15.6636,13.5895,5840,0.759932,88.0833,0.049551,0.0557937,5840,0.766438,67.8694,0.368773,0.333773,5840,0.817295,84.4334,3.08481,2.75445,5840,0.825856,85.5853,-61.9084,92.2227,5840,0.218322,-51.3001
[*:1]n1nnnc1N[N+](=O)[O-],nitramine,scaffold,1,9,5800,1682,8.8165,36.522,5800,0.774655,18.3847,101.163,120.769,5800,0.758621,63.7936,15.1315,13.6085,5800,0.746552,84.6808,0.0544204,0.0552168,5800,0.854138,75.0593,0.394157,0.329347,5800,0.913448,91.1443,3.35258,2.71703,5800,0.910517,93.9722,-34.5172,95.3629,5800,0.349483,-27.5658
[*:2]c1nc([*:1])n(O)n1,azole_ring,linker,2,6,5738,2771,-38.2879,36.3008,5738,0.148135,-79.8962,-5.44026,110.735,5738,0.424712,-3.72147,4.84779,12.0581,5738,0.589404,30.4539,-0.025602,0.061732,5738,0.282328,-31.4154,0.0938693,0.316527,5738,0.643604,22.4643,0.973892,2.56968,5738,0.679157,28.7086,-18.5921,95.5256,5738,0.432032,-14.7431
[*:2]c1nc(C)n([*:1])n1,azole_ring,linker,2,6,5698,2640,-27.3168,35.2446,5698,0.224465,-58.5057,-157.733,123.064,5698,0.0958231,-96.7508,-21.3815,13.4969,5698,0,-119.582,-0.0783204,0.0679247,5698,0.13145,-87.038,-0.594459,0.343646,5698,0.0728326,-130.579,-4.79856,2.79703,5698,0.0696736,-129.502,43.7235,125.648,5698,0.661636,26.2675
[*:1]NNn1nnc([*:2])n1,hydrazo,linker,2,7,5239,2327,1.03218,26.8309,5239,0.366864,2.78447,-49.0829,80.0898,5239,0.271044,-44.3585,-4.61253,6.19122,5239,0.13514,-53.9247,0.029766,0.0577758,5239,0.627982,37.2905,-0.0457828,0.209687,5239,0.372018,-15.8035,-0.653882,1.61924,5239,0.333651,-29.2289,-28.5209,87.2025,5239,0.380225,-23.6733
[*:1]NNn1nnnc1[*:2],hydrazo,linker,2,7,5224,2351,4.29855,26.587,5224,0.433384,11.6857,-35.1681,79.69,5224,0.367152,-31.8968,-4.57321,6.16642,5224,0.129977,-53.6031,0.0395746,0.057755,5224,0.741003,49.5254,-0.001334,0.208348,5224,0.515314,-0.462771,-0.263099,1.60877,5224,0.476838,-11.8202,3.41031,85.4332,5224,0.522971,2.88516
[*:1]N=Nn1nnc([*:2])n1,azo,linker,2,7,5217,2357,19.2014,25.889,5217,0.68641,53.5709,6.99997,78.9872,5217,0.570826,6.40103,1.19506,6.30451,5217,0.558367,13.6914,-0.00716498,0.0558359,5217,0.346176,-9.26854,-0.00802782,0.197226,5217,0.496837,-2.93998,-0.0998727,1.51735,5217,0.529423,-4.75415,-3.42181,77.53,5217,0.512555,-3.18784
[*:1]c1nnn[nH]1,azole_ring,scaffold,1,5,5209,1817,-25.1708,34.7323,5209,0.220772,-52.3046,-93.5273,115.108,5209,0.237474,-58.6423,-7.01633,13.3282,5209,0.207141,-37.994,-0.0616984,0.0562967,5209,0.154924,-79.0984,-0.168395,0.329647,5209,0.228835,-36.8687,-1.18016,2.7126,5209,0.288923,-31.4003,11.1664,104.696,5209,0.54713,7.69765
[*:1]N=Nn1nnnc1[*:2],azo,linker,2,7,5154,2319,22.7231,25.9318,5154,0.821304,62.9082,21.5884,80.0664,5154,0.662786,19.3572,1.38488,6.33492,5154,0.560341,15.6944,0.00315118,0.0577505,5154,0.443539,3.91733,0.0318573,0.201902,5154,0.619907,11.3276,0.225637,1.5428,5154,0.641832,10.4996,19.4582,83.5368,5154,0.591191,16.7223
[*:2]c1nc([*:1])n(N[N+](=O)[O-])n1,nitramine,linker,2,9,5092,2555,-1.7872,36.8789,5092,0.548704,-3.45811,88.7045,125.749,5092,0.707188,50.337,18.1609,13.3226,5092,0.827769,97.2727,0.0371136,0.0657647,5092,0.670267,40.2703,0.399863,0.332937,5092,0.849961,85.7026,3.37319,2.66621,5092,0.855263,90.28,-49.4287,99.8689,5092,0.274548,-35.3178
[*:1]c1nnnn1N=[N+]=[N-],azide,scaffold,1,8,5080,1739,85.2993,35.579,5080,0.994685,170.877,104.439,114.319,5080,0.811614,65.1139,4.23854,13.4443,5080,0.53189,22.4704,0.0644509,0.0574822,5080,0.89685,79.9149,0.157235,0.336799,5080,0.683465,33.2745,1.00168,2.76128,5080,0.656102,25.8553,46.6913,100.713,5080,0.712205,33.0432
[*:1]c1nnnn1C,azole_ring,scaffold,1,6,5080,1767,-31.4913,35.7073,5080,0.150984,-62.8586,-171.853,120.829,5080,0.0452756,-101.372,-23.3053,13.6603,5080,0,-121.598,-0.0859215,0.0574761,5080,0.0614173,-106.548,-0.628079,0.335013,5080,0.0602362,-133.624,-5.09806,2.78635,5080,0.0675197,-130.407,64.9574,121.838,5080,0.730512,37.9994
[*:1]c1nnnn1N,azole_ring,scaffold,1,6,5057,1787,-1.43521,36.5763,5057,0.593435,-2.79036,-63.5796,117.768,5057,0.369982,-38.3917,-6.93037,13.4149,5057,0.216136,-36.738,0.00887649,0.0553704,5057,0.543405,11.4001,-0.028204,0.330395,5057,0.463516,-6.07048,-0.317836,2.70578,5057,0.450267,-8.35328,31.2448,100.311,5057,0.648804,22.1501
[*:1]c1nn[nH]n1,azole_ring,scaffold,1,5,5044,1701,-25.2921,35.4151,5044,0.217486,-50.7205,-95.7566,117.991,5044,0.23751,-57.6376,-6.71806,13.7683,5044,0.218279,-34.6539,-0.0636226,0.0587391,5044,0.162569,-76.9257,-0.173594,0.33932,5044,0.235726,-36.3339,-1.22438,2.75607,5044,0.289651,-31.551,-35.5574,96.9881,5044,0.37728,-26.0375
[*:1]c1nnnn1O,azole_ring,scaffold,1,6,5040,1750,-23.7793,35.2161,5040,0.244246,-47.9373,37.6194,114.956,5040,0.577183,23.2324,2.80231,13.5487,5040,0.464881,14.6837,0.0107851,0.0560763,5040,0.530357,13.654,0.136283,0.337327,5040,0.658929,28.6817,1.21931,2.77907,5040,0.672619,31.1481,-3.11837,100.08,5040,0.498214,-2.21206
[*:1]c1nnnn1[N+](=O)[O-],nitro,scaffold,1,8,5012,1729,4.06944,35.621,5012,0.67518,8.08787,147.29,123.671,5012,0.933958,84.3161,16.2292,13.8703,5012,0.82921,82.8358,0.0514243,0.0572394,5012,0.799681,63.6032,0.396128,0.341924,5012,0.890263,82.0182,3.36401,2.82441,5012,0.888867,84.3207,-35.6801,93.3263,5012,0.365323,-27.0663
[*:1]c1nnn(N)n1,azole_ring,scaffold,1,6,5001,1677,-1.40919,34.7644,5001,0.55129,-2.86658,-70.1568,119.541,5001,0.331534,-41.503,-6.59548,13.6835,5001,0.231154,-34.0861,0.00214727,0.0575394,5001,0.484103,2.63907,-0.0496336,0.342499,5001,0.421516,-10.2481,-0.498931,2.8093,5001,0.39932,-12.5595,-16.8604,99.2477,5001,0.468106,-12.0137
[*:1]c1nnn(C)n1,azole_ring,scaffold,1,6,4999,1699,-34.5382,35.0995,4999,0.0928186,-69.573,-186.316,123.662,4999,0.00620124,-106.526,-22.9338,13.9121,4999,0,-116.553,-0.0981868,0.0587476,4999,0.0142028,-118.169,-0.651542,0.335067,4999,0.0122024,-137.484,-5.22467,2.7775,4999,0.0230046,-132.998,77.571,123.401,4999,0.745749,44.4451
[*:1]c1nnn(O)n1,azole_ring,scaffold,1,6,4939,1694,-29.7677,37.3071,4939,0.177566,-56.0755,26.3211,116.02,4939,0.537153,15.9438,3.33847,13.2189,4939,0.48856,17.7489,-0.000914942,0.0555758,4939,0.438348,-1.15698,0.103968,0.326865,4939,0.617736,22.3538,0.955868,2.678,4939,0.641223,25.0846,-50.515,94.6719,4939,0.299858,-37.4989
[*:1]c1nnn(N=[N+]=[N-])n1,azide,scaffold,1,8,4937,1650,81.8453,34.7972,4937,0.954223,165.265,85.7623,114.403,4937,0.71663,52.6735,3.84489,13.368,4937,0.529876,20.2092,0.0522236,0.0568653,4937,0.797245,64.5285,0.124628,0.334181,4937,0.624671,26.2038,0.750734,2.7446,4937,0.602998,19.2193,55.75,107.641,4937,0.719465,36.3913
[*:1]c1nnn([N+](=O)[O-])n1,nitro,scaffold,1,8,4931,1647,-2.92949,37.2685,4931,0.568445,-5.51973,132.689,125.871,4931,0.879132,74.0245,16.2151,13.8041,4931,0.840195,82.4857,0.0391367,0.0571237,4931,0.675117,48.11,0.368387,0.338736,4931,0.840397,76.3678,3.15317,2.80489,4931,0.855202,78.9403,-30.5516,100.829,4931,0.380856,-21.2773
[*:2]c1nc([*:1])n(N=[N+]=[N-])n1,azide,linker,2,8,4803,2500,73.1017,34.5985,4803,0.911514,146.429,79.224,118.308,4803,0.715178,46.4087,8.65567,12.2713,4803,0.712263,48.8842,0.0362703,0.0682837,4803,0.644805,36.8121,0.190267,0.329028,4803,0.750573,40.0762,1.37117,2.61959,4803,0.74745,36.2757,25.1766,106.589,4803,0.631897,16.3697
[*:1]c1nnnn1N[N+](=O)[O-],nitramine,scaffold,1,9,4781,1668,13.654,35.8193,4781,0.823677,26.3573,118.825,118.297,4781,0.844593,69.4534,15.3529,13.7465,4781,0.743987,77.2245,0.0658138,0.0545661,4781,0.933487,83.3976,0.392948,0.333224,4781,0.871993,81.5376,3.23951,2.7539,4781,0.861535,81.3374,-55.6526,90.2657,4781,0.24451,-42.6306
[*:1]N=Nc1nnn([*:2])n1,azo,linker,2,7,4767,2042,24.664,25.8565,4767,0.826096,65.8593,27.8374,76.7261,4767,0.660373,25.05,1.52424,6.19999,4767,0.569121,16.974,0.00764812,0.0561908,4767,0.454374,9.39749,0.0260911,0.195111,4767,0.585274,9.23277,0.150305,1.49545,4767,0.60772,6.93945,9.02768,80.0895,4767,0.547514,7.78258
[*:1]Nn1nnnc1[*:2],azole_ring,linker,2,6,4757,2397,14.9175,27.6254,4757,0.82489,37.2439,59.1628,95.0789,4757,0.700862,42.9172,7.16856,11.2059,4757,0.451545,44.1216,0.0554675,0.061508,4757,0.864831,62.1976,0.220488,0.307624,4757,0.750053,49.4346,1.71929,2.55126,4757,0.734917,46.4796,-15.0199,81.6246,4757,0.413706,-12.6915
[*:1]NNc1nnnn1[*:2],hydrazo,linker,2,7,4710,2034,1.88208,26.5188,4710,0.420382,4.87073,-46.229,77.2618,4710,0.312739,-41.0638,-4.40058,6.03247,4710,0.13758,-50.064,0.0312093,0.0563356,4710,0.693631,38.0199,-0.00726098,0.199548,4710,0.507856,-2.49723,-0.269701,1.54852,4710,0.465393,-11.953,-0.418989,86.3148,4710,0.525053,-0.333141
[*:1]N=Nc1nnnn1[*:2],azo,linker,2,7,4646,2068,28.1423,25.9207,4646,0.924882,74.0037,38.9156,78.0555,4646,0.741498,33.9829,1.48391,6.27399,4646,0.568661,16.1214,0.0167818,0.0562904,4646,0.566509,20.321,0.0443208,0.198065,4646,0.659277,15.2524,0.273233,1.5183,4646,0.661429,12.2663,19.433,80.6583,4646,0.620103,16.4221
[*:1]c1nnn(N[N+](=O)[O-])n1,nitramine,scaffold,1,9,4563,1535,10.1713,36.1159,4563,0.766382,19.0241,101.893,118.335,4563,0.737453,58.1645,14.5685,13.5469,4563,0.724962,72.6444,0.0560015,0.0545744,4563,0.854482,69.3164,0.362309,0.330728,4563,0.845277,74.0003,3.01337,2.74413,4563,0.836511,74.1776,-64.8995,92.8026,4563,0.216086,-47.2396
[*:1]NNc1nnn([*:2])n1,hydrazo,linker,2,7,4558,2023,-0.639829,26.6086,4558,0.369241,-1.62341,-55.5044,78.8745,4558,0.245283,-47.5092,-4.52044,6.12794,4558,0.131856,-49.8028,0.0233628,0.0570657,4558,0.613646,27.6399,-0.0454584,0.199641,4558,0.378236,-15.3728,-0.595327,1.54899,4558,0.335015,-25.9474,-11.0115,86.5145,4558,0.450197,-8.593
[*:1]Nn1nnc([*:2])n1,azole_ring,linker,2,6,4474,2365,19.3174,23.0079,4474,0.750782,56.1591,54.8575,98.4545,4474,0.581359,37.2691,7.65349,11.8675,4474,0.440098,43.137,0.052784,0.06842,4474,0.726419,51.6021,0.212373,0.335031,4474,0.658695,42.3997,1.60551,2.71145,4474,0.640367,39.606,-32.8565,80.1805,4474,0.326106,-27.4094
[*:2]c1nc([*:1])n(N)n1,azole_ring,linker,2,6,4392,2388,-10.2168,33.3552,4392,0.350182,-20.2993,-93.5704,119.895,4392,0.236794,-51.7211,-2.49458,12.5112,4392,0.367031,-13.2138,-0.0281877,0.0690437,4392,0.291211,-27.0562,-0.0274182,0.337122,4392,0.451275,-5.38993,-0.166663,2.70872,4392,0.496812,-4.07763,15.3292,96.1684,4392,0.586976,10.5637
[*:1]Nc1nn(O)nc1[*:2],azole_ring,linker,2,7,4264,710,-14.0367,31.886,4264,0.319653,-28.7458,71.0492,100.618,4264,0.747889,46.1097,6.08148,9.85888,4264,0.645169,40.2801,0.0274799,0.0583713,4264,0.632974,30.7414,0.181132,0.270694,4264,0.792683,43.6943,1.54097,2.24826,4264,0.790807,44.7566,-46.1262,81.3593,4264,0.270403,-37.0211
[*:2]c1nc([*:1])n(C)n1,azole_ring,linker,2,6,3926,2297,-41.2974,33.0547,3926,0.0532348,-78.2825,-207.488,117.309,3926,0.0282731,-110.825,-19.3742,12.3226,3926,0,-98.5135,-0.122029,0.0677667,3926,0.0359144,-112.829,-0.625654,0.32323,3926,0.0295466,-121.282,-4.83748,2.64046,3926,0.0326032,-114.793,53.632,120.193,3926,0.695874,27.9589
[*:1]N=[N+]([O-])n1nnnc1[*:2],azoxy,linker,2,8,3827,1734,20.7192,25.4908,3827,0.76901,50.2827,118.322,82.6001,3827,0.932323,88.6167,10.2514,6.4512,3827,0.834335,98.3041,0.0530206,0.0560655,3827,0.852103,58.503,0.289881,0.190817,3827,0.922132,93.9793,2.39909,1.42935,3827,0.917951,103.833,-4.68372,77.4229,3827,0.455448,-3.7424
[*:1]N=[N+]([O-])n1nnc([*:2])n1,azoxy,linker,2,8,3696,1684,18.7122,25.937,3696,0.678842,43.8602,108.916,86.0725,3696,0.877976,76.9295,10.1101,6.59336,3696,0.821699,93.2213,0.0488539,0.0575545,3696,0.791126,51.6042,0.276622,0.194427,3696,0.891234,86.4962,2.28099,1.43375,3696,0.890422,96.72,-14.5132,73.5817,3696,0.414502,-11.9911
[*:1]Nc1nnc([*:2])n1N,azole_ring,linker,2,7,3669,702,4.04995,35.4999,3669,0.613519,6.91028,-62.0203,107.836,3669,0.304443,-34.8372,-5.8635,11.3745,3669,0.185337,-31.2247,0.0014121,0.0574773,3669,0.525484,1.48814,-0.0272799,0.305651,3669,0.412646,-5.40618,-0.271332,2.56894,3669,0.406378,-6.39766,41.8184,95.0881,3669,0.702916,26.6388
[*:2]c1n[nH]c([*:1])n1,azole_ring,linker,2,5,3490,2092,-41.0403,31.6502,3490,0.0719198,-76.6031,-159.538,98.9392,3490,0.0415473,-95.2598,-5.32865,11.7779,3490,0.155874,-26.7277,-0.114497,0.0559401,3490,0.0338109,-120.917,-0.246787,0.294444,3490,0.145845,-49.5146,-1.59719,2.42139,3490,0.199427,-38.9676,-1.5258,94.8821,3490,0.501146,-0.950004
[*:1]Nn1nc(C)nc1[*:2],azole_ring,linker,2,7,3442,696,-17.129,35.0907,3442,0.358512,-28.6382,-112.468,97.6704,3442,0.110401,-67.5571,-18.2945,10.0674,3442,0,-106.612,-0.057781,0.0613192,3442,0.178966,-55.2833,-0.52647,0.28373,3442,0.070308,-108.861,-4.43184,2.39782,3442,0.0630447,-108.436,18.0461,92.7394,3442,0.609529,11.4163
[*:1]Nc1nnnn1[*:2],azole_ring,linker,2,6,3270,2292,6.67779,14.1465,3270,0.731804,26.9934,-4.19813,45.7781,3270,0.453823,-5.24411,1.25646,5.01887,3270,0.183486,14.3158,0.0136761,0.0345219,3270,0.684098,22.6538,0.0631778,0.135661,3270,0.700306,26.6308,0.531889,1.15859,3270,0.692355,26.2522,8.16658,73.1394,3270,0.564526,6.38503
[*:1]Nn1nc([*:2])c(C)n1,azole_ring,linker,2,7,2972,683,-3.36903,34.5309,2972,0.59354,-5.3189,-41.4382,90.781,2972,0.376178,-24.8846,-15.1195,10.5589,2972,0,-78.0624,-0.00599176,0.0551859,2972,0.460969,-5.91903,-0.374437,0.284905,2972,0.167227,-71.6478,-3.33036,2.39736,2972,0.144347,-75.7324,9.33131,96.201,2972,0.570323,5.28795
[*:2]c1cnnn1[*:1],azole_ring,linker,2,5,2955,1859,-4.06983,32.6886,2955,0.543147,-6.76797,-6.25087,98.5278,2955,0.526565,-3.44874,-6.21381,12.4372,2955,0.179695,-27.1589,0.00418318,0.0493317,2955,0.553976,4.60956,-0.126358,0.292759,2955,0.313367,-23.4624,-1.177,2.46577,2955,0.297462,-25.948,12.7293,84.0658,2955,0.567851,8.23119
[*:1]Nc1nnn([*:2])n1,azole_ring,linker,2,6,2950,2126,0.488726,9.1475,2950,0.501017,2.90184,-23.9725,42.055,2950,0.21322,-30.9604,-0.0645692,3.48941,2950,0.0976271,-1.00504,-0.00199475,0.0259362,2950,0.424407,-4.17727,-0.0183993,0.0847055,2950,0.328136,-11.7978,-0.18873,0.757456,2950,0.342034,-13.533,-8.77582,65.1288,2950,0.456949,-7.31857
[*:1]N=[N+]([O-])c1nnnn1[*:2],azoxy,linker,2,8,2912,1237,20.5602,25.9605,2912,0.768201,42.7375,116.036,82.2122,2912,0.948832,76.1645,10.15,6.57877,2912,0.826236,83.256,0.0527038,0.0559063,2912,0.882555,50.8718,0.294737,0.190772,2912,0.928915,83.3712,2.44886,1.41603,2912,0.926511,93.3228,-2.32767,75.537,2912,0.485234,-1.66286
[*:1]Nc1nc([*:2])n(C)n1,azole_ring,linker,2,7,2887,699,-31.3432,26.6403,2887,0.0976793,-63.2161,-159.443,90.2543,2887,0.0155871,-94.9209,-15.983,10.4204,2887,0,-82.4133,-0.105287,0.057973,2887,0.0180118,-97.5827,-0.544938,0.291234,2887,0.0193973,-100.538,-4.30733,2.42918,2887,0.031867,-95.2735,60.043,107.998,2887,0.752338,29.8723
[*:2]n1nnc(N=[N+]([*:1])[O-])n1,azoxy,linker,2,8,2782,1404,10.8992,22.3748,2782,0.60532,25.6929,93.8184,75.4821,2782,0.895758,65.5575,9.89954,5.94585,2782,0.847951,87.8173,0.0313716,0.0458597,2782,0.775701,36.0815,0.264415,0.156383,2782,0.924155,89.1816,2.31177,1.20828,2782,0.93422,100.915,16.8136,79.2682,2782,0.601725,11.1877
[*:1]Nn1ncc([*:2])n1,azole_ring,linker,2,6,2650,668,2.94583,36.3453,2650,0.641132,4.17237,31.2875,102.422,2650,0.622642,15.7254,-3.22996,12.5853,2650,0.32717,-13.2116,0.026958,0.0581433,2650,0.646038,23.8677,-0.0606811,0.33392,2650,0.318491,-9.3548,-0.767931,2.7961,2650,0.295472,-14.1381,-14.2976,86.8399,2650,0.424906,-8.47554
[*:1]Nn1nc([*:2])c(N=[N+]=[N-])n1,azide,linker,2,9,2645,660,75.6242,40.8705,2645,0.88431,95.1621,80.7554,90.5594,2645,0.769376,45.8618,4.30889,9.9317,2645,0.561815,22.3128,0.045909,0.0534458,2645,0.806427,44.1771,0.0986052,0.262161,2645,0.644612,19.3439,0.551229,2.184,2645,0.608696,12.9805,-8.53407,88.6703,2645,0.468809,-4.94984
[*:1]Nc1nnc([*:2])n1O,azole_ring,linker,2,7,2638,683,-16.316,24.117,2638,0.221759,-34.7479,54.5462,87.7491,2638,0.679682,31.9271,7.08615,9.60752,2638,0.611448,37.8824,0.00948343,0.0501953,2638,0.535633,9.70376,0.21122,0.257462,2638,0.813116,42.1367,1.93133,2.15326,2638,0.835861,46.0677,16.952,94.224,2638,0.605383,9.24054
[*:1]Nn1nc([N+](=O)[O-])nc1[*:2],nitro,linker,2,9,2633,663,-3.13919,39.1855,2633,0.513483,-4.11072,108.036,104.196,2633,0.816179,53.2039,15.4706,10.0872,2633,0.842005,78.6975,0.0247667,0.0563092,2633,0.626662,22.5691,0.320904,0.247127,2633,0.884163,66.6315,2.83895,2.08414,2633,0.892898,69.8967,-30.8505,83.8083,2633,0.321686,-18.8887
[*:1]Nn1nnc([*:2])c1O,azole_ring,linker,2,7,2546,678,-31.1792,39.7725,2546,0.1685,-39.5559,31.917,104.476,2546,0.688531,15.4146,8.34274,11.1748,2546,0.665357,37.6703,-0.00566359,0.0568033,2546,0.495679,-5.03092,0.17713,0.304333,2546,0.719953,29.3678,1.63253,2.57891,2546,0.750589,31.9414,-28.8545,88.6865,2546,0.358602,-16.4167
[*:1]Nc1n[nH]c([*:2])n1,azole_ring,linker,2,6,2509,671,-37.6274,41.5218,2509,0.0992427,-45.3918,-127.406,90.6471,2509,0.0514149,-70.4021,-4.85135,9.95878,2509,0.188521,-24.401,-0.0885606,0.0510882,2509,0.0179354,-86.8301,-0.215249,0.256913,2509,0.131527,-41.9669,-1.49184,2.12995,2509,0.147071,-35.0836,-11.5149,89.9819,2509,0.453169,-6.40997
