candidate_id,n_pairs,corr_Hf_Q,n_Hf_Q,corr_Hf_OBgood,n_Hf_OBgood,corr_Hf_Pe,n_Hf_Pe,corr_Hf_D,n_Hf_D,corr_Hf_P,n_Hf_P,corr_Hf_IS,n_Hf_IS,corr_Hf_nu,n_Hf_nu,corr_Q_OBgood,n_Q_OBgood,corr_Q_Pe,n_Q_Pe,corr_Q_D,n_Q_D,corr_Q_P,n_Q_P,corr_Q_IS,n_Q_IS,corr_Q_nu,n_Q_nu,corr_OBgood_Pe,n_OBgood_Pe,corr_OBgood_D,n_OBgood_D,corr_OBgood_P,n_OBgood_P,corr_OBgood_IS,n_OBgood_IS,corr_OBgood_nu,n_OBgood_nu,corr_Pe_D,n_Pe_D,corr_Pe_P,n_Pe_P,corr_Pe_IS,n_Pe_IS,corr_Pe_nu,n_Pe_nu,corr_D_P,n_D_P,corr_D_IS,n_D_IS,corr_D_nu,n_D_nu,corr_P_IS,n_P_IS,corr_P_nu,n_P_nu,corr_IS_nu,n_IS_nu
cand_030,1495,0.585133,1495,0.250261,1495,0.676974,1495,0.298621,1495,0.244245,1495,0.131724,1495,,0,0.795565,1495,0.775042,1495,0.786373,1495,0.758153,1495,-0.197548,1495,,0,0.588637,1495,0.971785,1495,0.9732,1495,-0.380487,1495,,0,0.693684,1495,0.642632,1495,-0.194983,1495,,0,0.996814,1495,-0.369367,1495,,0,-0.377036,1495,,0,,0
cand_031,2209,0.579072,2209,0.279777,2209,0.680927,2209,0.33385,2209,0.281608,2209,0.0333868,2209,,0,0.810682,2209,0.771991,2209,0.805307,2209,0.77958,2209,-0.20851,2209,,0,0.595407,2209,0.972028,2209,0.973911,2209,-0.389138,2209,,0,0.703474,2209,0.653102,2209,-0.282986,2209,,0,0.996863,2209,-0.390389,2209,,0,-0.389811,2209,,0,,0
cand_032,1427,0.580024,1427,0.246255,1427,0.683192,1427,0.304101,1427,0.249012,1427,0.125535,1427,,0,0.785114,1427,0.751267,1427,0.77724,1427,0.748768,1427,-0.161764,1427,,0,0.546013,1427,0.968267,1427,0.971179,1427,-0.420269,1427,,0,0.669585,1427,0.615583,1427,-0.162141,1427,,0,0.996682,1427,-0.416988,1427,,0,-0.428171,1427,,0,,0
cand_033,5181,0.508007,5181,0.219469,5181,0.668095,5181,0.282721,5181,0.237448,5181,-0.0263415,5181,,0,0.822596,5181,0.751717,5181,0.803993,5181,0.778385,5181,-0.461001,5181,,0,0.574169,5181,0.967602,5181,0.966932,5181,-0.550071,5181,,0,0.693492,5181,0.651891,5181,-0.330968,5181,,0,0.997383,5181,-0.514134,5181,,0,-0.504814,5181,,0,,0
cand_034,1453,0.602991,1453,0.230619,1453,0.697965,1453,0.322735,1453,0.269207,1453,0.10469,1453,,0,0.751337,1453,0.804686,1453,0.767093,1453,0.734744,1453,-0.331403,1453,,0,0.549797,1453,0.959342,1453,0.964417,1453,-0.559465,1453,,0,0.699203,1453,0.648054,1453,-0.294285,1453,,0,0.996813,1453,-0.565262,1453,,0,-0.57522,1453,,0,,0
cand_035,1463,0.613929,1463,0.251938,1463,0.699074,1463,0.32969,1463,0.274504,1463,0.0534602,1463,,0,0.756721,1463,0.806924,1463,0.769473,1463,0.736486,1463,-0.261191,1463,,0,0.558048,1463,0.965136,1463,0.969755,1463,-0.49774,1463,,0,0.692814,1463,0.639297,1463,-0.300514,1463,,0,0.996648,1463,-0.518536,1463,,0,-0.52086,1463,,0,,0
cand_036,2566,0.613898,2566,0.41765,2566,0.627069,2566,0.462444,2566,0.413371,2566,0.0529425,2566,,0,0.894609,2566,0.544992,2566,0.8425,2566,0.836135,2566,-0.1849,2566,,0,0.410551,2566,0.940379,2566,0.953202,2566,-0.233931,2566,,0,0.632583,2566,0.562921,2566,-0.0629957,2566,,0,0.995199,2566,-0.204579,2566,,0,-0.218078,2566,,0,,0
cand_037,5241,0.495276,5241,0.20881,5241,0.660961,5241,0.266741,5241,0.221744,5241,-0.0261175,5241,,0,0.825887,5241,0.742237,5241,0.805359,5241,0.78277,5241,-0.459765,5241,,0,0.586145,5241,0.970468,5241,0.970308,5241,-0.584853,5241,,0,0.700161,5241,0.660462,5241,-0.332548,5241,,0,0.997589,5241,-0.561321,5241,,0,-0.554975,5241,,0,,0
cand_038,769,0.54076,769,0.213695,769,0.772031,769,0.346375,769,0.274395,769,-0.00549949,769,,0,0.797871,769,0.673753,769,0.778001,769,0.754573,769,-0.4038,769,,0,0.448079,769,0.945672,769,0.958445,769,-0.521214,769,,0,0.644146,769,0.570247,769,-0.170835,769,,0,0.994824,769,-0.452486,769,,0,-0.46138,769,,0,,0
cand_039,465,0.620277,465,0.195634,465,0.762673,465,0.291135,465,0.22315,465,0.0722434,465,,0,0.720866,465,0.80211,465,0.744334,465,0.706675,465,-0.255615,465,,0,0.540277,465,0.97127,465,0.976098,465,-0.505585,465,,0,0.669234,465,0.608451,465,-0.244952,465,,0,0.99591,465,-0.494423,465,,0,-0.495937,465,,0,,0
cand_040,3625,0.597134,3625,0.229793,3625,0.670212,3625,0.280716,3625,0.229896,3625,-0.0288006,3625,,0,0.768533,3625,0.852444,3625,0.788789,3625,0.760288,3625,-0.293355,3625,,0,0.647527,3625,0.980553,3625,0.981647,3625,-0.469353,3625,,0,0.731125,3625,0.6873,3625,-0.344474,3625,,0,0.997331,3625,-0.464862,3625,,0,-0.456351,3625,,0,,0
