candidate_id,n_pairs_total,n_pairs_vs_candidate,n_pairs_vs_database,n_unique_neighbors,n_unique_cand_frags,n_Hf,mean_d_Hf,median_d_Hf,std_d_Hf,frac_pos_d_Hf,n_Q,mean_d_Q,median_d_Q,std_d_Q,frac_pos_d_Q,n_OBgood,mean_d_OBgood,median_d_OBgood,std_d_OBgood,frac_pos_d_OBgood,n_Pe,mean_d_Pe,median_d_Pe,std_d_Pe,frac_pos_d_Pe,n_D,mean_d_D,median_d_D,std_d_D,frac_pos_d_D,n_P,mean_d_P,median_d_P,std_d_P,frac_pos_d_P,n_IS,mean_d_IS,median_d_IS,std_d_IS,frac_pos_d_IS,n_nu,mean_d_nu,median_d_nu,std_d_nu,frac_pos_d_nu
cand_030,1495,24,1471,1294,9,1495,-66.4102,-71.3028,49.1726,0.113712,1495,-277.375,-276.278,109.66,0.00602007,1495,-32.5946,-31.0232,15.0347,0.00334448,1495,-0.214333,-0.2167,0.0684005,0.00869565,1495,-1.00122,-0.977589,0.405961,0.00401338,1495,-8.84574,-8.70264,3.56919,0.00401338,1495,7.11833,2.4676,90.0218,0.505686,0,,,,
cand_031,2209,34,2175,1557,12,2209,-65.9514,-70.1302,49.1717,0.106383,2209,-231.413,-225.751,107.88,0.0140335,2209,-28.9639,-28.2504,14.7257,0.0108646,2209,-0.202911,-0.2019,0.0669873,0.00452694,2209,-0.830135,-0.799216,0.396884,0.0158443,2209,-7.07165,-6.8608,3.51246,0.017655,2209,112.628,102.896,89.5041,0.897691,0,,,,
cand_032,1427,12,1415,1251,7,1427,-64.3233,-68.2447,48.9729,0.119131,1427,-275.111,-271.172,108.346,0.00280308,1427,-33.3071,-31.8484,15.099,0.000700771,1427,-0.210617,-0.2102,0.0672302,0.00770848,1427,-0.948697,-0.922391,0.403914,0.00770848,1427,-8.20504,-8.03475,3.54813,0.00770848,1427,95.0641,80.3281,90.5365,0.810792,0,,,,
cand_033,5181,18,5163,2340,14,5181,-42.6666,-47.71,48.67,0.183362,5181,-149.727,-142.376,110.998,0.0644663,5181,-22.9092,-21.859,16.2398,0.0548157,5181,-0.176551,-0.1729,0.0644405,0.00193013,5181,-0.669588,-0.614928,0.44464,0.0486393,5181,-5.67393,-5.30515,4.0707,0.0673615,5181,31.6989,11.0394,49.1411,0.983015,0,,,,
cand_034,1453,12,1441,1273,7,1453,-72.1405,-74.6662,47.7696,0.0770819,1453,-289.656,-285.891,112.032,0.00344116,1453,-32.7965,-31.8484,15.1281,0.00344116,1453,-0.221795,-0.2214,0.074283,0.00344116,1453,-0.908363,-0.877633,0.416114,0.00550585,1453,-7.61606,-7.40971,3.60633,0.00619408,1453,92.9542,65.1647,85.8081,0.962836,0,,,,
cand_035,1463,10,1453,1295,8,1463,-74.6036,-78.0795,47.5703,0.0799727,1463,-301.282,-299.061,113.755,0.00478469,1463,-33.2759,-31.8484,15.065,0.00273411,1463,-0.229313,-0.2305,0.0729185,0.00546822,1463,-0.853314,-0.811557,0.412476,0.00956938,1463,-6.89799,-6.60327,3.57129,0.0109364,1463,79.7814,43.4461,85.0344,0.937116,0,,,,
cand_036,2566,27,2539,1440,12,2566,-73.1975,-70.1197,65.2142,0.130164,2566,-210.666,-191.983,157.888,0.0697584,2566,-23.5561,-22.4631,18.7047,0.0674201,2566,-0.220928,-0.2183,0.0732154,0.00389712,2566,-0.893989,-0.833157,0.410055,0.00584567,2566,-7.46723,-7.12969,3.45901,0.00584567,2566,-19.279,-7.51,82.2981,0.482073,0,,,,
cand_037,5241,20,5221,2362,15,5241,-41.394,-46.9368,47.996,0.187178,5241,-141.285,-133.768,111.12,0.081473,5241,-22.7395,-21.859,16.3398,0.0513261,5241,-0.170344,-0.1671,0.0623611,0.00457928,5241,-0.613443,-0.556997,0.442371,0.0574318,5241,-5.05767,-4.63958,4.04297,0.0870063,5241,26.5398,8.7515,43.7626,0.991605,0,,,,
cand_038,769,4,765,678,5,769,-86.2468,-86.0253,40.9992,0.0117035,769,-372.82,-370.71,135.624,0.00650195,769,-41.8417,-39.641,16.7213,0.00520156,769,-0.269165,-0.2687,0.0808987,0.00650195,769,-1.18845,-1.15171,0.413539,0.00390117,769,-10.0285,-9.86809,3.48303,0.00260078,769,86.0913,57.0727,84.3964,0.905072,0,,,,
cand_039,465,1,464,438,2,465,-86.6558,-87.2515,41.1681,0.0107527,465,-349.888,-351.425,117.404,0.00215054,465,-42.1878,-40.0948,16.7144,0,465,-0.268385,-0.2655,0.0815448,0.00215054,465,-1.2193,-1.19432,0.467853,0,465,-10.5706,-10.3765,4.05582,0,465,72.0812,34.0054,84.8491,0.913978,0,,,,
cand_040,3625,24,3601,2101,13,3625,-62.5158,-67.4393,50.4029,0.13269,3625,-199.744,-200.576,95.55,0.0176552,3625,-27.4302,-25.794,13.8308,0,3625,-0.190348,-0.1857,0.0641965,0.0057931,3625,-0.67149,-0.622955,0.406555,0.0226207,3625,-5.53278,-5.17675,3.74026,0.0524138,3625,23.8103,8.8549,39.5197,0.99531,0,,,,
cand_041,3571,23,3548,1035,5,3571,-76.9957,-83.0967,48.2636,0.0851302,3571,-176.628,-178.688,94.4568,0.0378045,3571,-21.8776,-21.0615,14.0626,0.0478857,3571,-0.179232,-0.176,0.062763,0.00700084,3571,-0.486128,-0.429474,0.412547,0.101092,3571,-3.59781,-3.13139,3.78024,0.177261,3571,24.0163,9.6555,37.069,0.9972,0,,,,
cand_042,912,11,901,636,8,912,-57.4265,-62.0921,48.4008,0.128289,912,-222.442,-222.745,159.48,0.0899123,912,-26.7456,-25.0998,19.9091,0.0712719,912,-0.249999,-0.24205,0.0954895,0.0109649,912,-0.808648,-0.774644,0.452525,0.0350877,912,-5.9032,-5.72476,3.60105,0.0482456,912,46.8217,51.0461,85.4226,0.657895,0,,,,
cand_043,201,2,199,159,6,201,-54.0971,-54.6662,26.3053,0.0248756,201,-300.363,-312.282,145.321,0.0248756,201,-34.666,-28.1079,21.1001,0.0298507,201,-0.271627,-0.2792,0.103416,0.00995025,201,-1.13809,-1.09681,0.476669,0.00497512,201,-8.73627,-8.3906,3.46334,0.00497512,201,134.757,149.73,87.1516,0.920398,0,,,,
cand_044,914,10,904,633,9,914,-57.0923,-61.0061,48.7356,0.141138,914,-221.803,-216.374,162.666,0.0754923,914,-27.1529,-25.0998,20.1502,0.0700219,914,-0.250823,-0.2407,0.101028,0.0109409,914,-1.00768,-0.963992,0.473132,0.0142232,914,-8.00225,-7.78111,3.71606,0.0109409,914,109.932,122.446,82.992,0.864333,0,,,,
cand_045,621,10,611,614,8,621,-90.1241,-91.0488,42.2488,0.0225443,621,-369.191,-367.173,137.963,0.0161031,621,-40.7723,-39.6143,19.0251,0.0161031,621,-0.27041,-0.2712,0.0867586,0.0144928,621,-1.10062,-1.08626,0.47257,0.0225443,621,-8.9061,-8.87885,3.98103,0.0257649,621,92.3999,66.7443,83.3158,0.982287,0,,,,
