candidate_id,candidate_frag,chemotype,n_pairs,n_distinct_neighbor_frags,n_Hf,mean_d_Hf,median_d_Hf,std_d_Hf,frac_pos_d_Hf,n_Q,mean_d_Q,median_d_Q,std_d_Q,frac_pos_d_Q,n_OBgood,mean_d_OBgood,median_d_OBgood,std_d_OBgood,frac_pos_d_OBgood,n_Pe,mean_d_Pe,median_d_Pe,std_d_Pe,frac_pos_d_Pe,n_D,mean_d_D,median_d_D,std_d_D,frac_pos_d_D,n_P,mean_d_P,median_d_P,std_d_P,frac_pos_d_P,n_IS,mean_d_IS,median_d_IS,std_d_IS,frac_pos_d_IS,n_nu,mean_d_nu,median_d_nu,std_d_nu,frac_pos_d_nu
cand_005,[*:1]Nc1nnnn1N=[N+]=[N-],azide,117,117,117,-146.263,-152.414,43.0852,0,117,-377.902,-402.958,165.314,0.025641,117,-40.6652,-36.1305,22.147,0.017094,117,-0.233615,-0.2523,0.0915183,0.00854701,117,-1.02547,-0.976366,0.51191,0.034188,117,-8.20841,-8.10703,4.16053,0.042735,117,44.7671,74.461,80.9945,0.709402,0,,,,
cand_005,[*:1]c1nnnn1[*:2],azole_ring,97,97,97,-30.6897,-41.8439,48.9679,0.247423,97,-151.693,-139.7,115.066,0.103093,97,-18.1999,-20.6149,15.3506,0.103093,97,-0.173243,-0.1721,0.0529659,0,97,-0.57068,-0.540387,0.332954,0.0515464,97,-4.48744,-4.37473,2.99516,0.0721649,97,31.3984,59.176,85.4765,0.649485,0,,,,
cand_005,[*:2]c1nnnn1[*:1],azole_ring,92,92,92,-39.3771,-48.5389,44.2959,0.163043,92,-163.997,-144.776,115.885,0.0108696,92,-17.2615,-12.5818,15.2875,0.0652174,92,-0.188308,-0.18715,0.047591,0,92,-0.577426,-0.533149,0.328347,0.0217391,92,-4.48352,-4.16411,2.94433,0.0652174,92,12.2071,11.1787,86.468,0.521739,0,,,,
cand_005,[*:1]N=[N+]=[N-],azide,1,1,1,-85.5346,-85.5346,0,0,1,-190.032,-190.032,0,0,1,-10.8464,-10.8464,0,0,1,-0.0165,-0.0165,0,0,1,-0.00346025,-0.00346025,0,0,1,0.150794,0.150794,0,1,1,-91.6894,-91.6894,0,0,0,,,,
cand_005,[*:1]NN[*:2],hydrazo,1,1,1,23.0014,23.0014,0,1,1,177.62,177.62,0,1,1,13.8092,13.8092,0,1,1,-0.0125,-0.0125,0,0,1,0.213471,0.213471,0,1,1,2.24465,2.24465,0,1,1,-72.5803,-72.5803,0,0,0,,,,
cand_006,[*:1]/N=[N+](/[O-])c1nnnn1[*:2],azoxy,546,546,546,-68.0353,-74.1153,50.3091,0.10989,546,-311.306,-302.066,128.002,0.0018315,546,-32.2079,-30.6541,16.078,0.00732601,546,-0.209222,-0.207,0.0662741,0.00549451,546,-0.891643,-0.862739,0.369564,0.003663,546,-7.47066,-7.25582,3.17623,0.00549451,546,108.045,123.337,80.8836,0.847985,0,,,,
cand_006,[*:2]n1nnnc1/N=[N+](/[*:1])[O-],azoxy,409,409,409,-60.2598,-66.3353,48.2041,0.132029,409,-309.769,-302.066,125.092,0.00244499,409,-32.4959,-30.8945,15.296,0.00733496,409,-0.197494,-0.1984,0.061941,0.00733496,409,-0.874494,-0.85285,0.344509,0.00244499,409,-7.38174,-7.21868,2.98865,0.00488998,409,106.997,119.489,80.2652,0.843521,0,,,,
cand_006,[*:1]n1nnnc1/N=[N+](/[*:2])[O-],azoxy,137,137,137,-91.2483,-98.0453,49.4682,0.0437956,137,-315.894,-302.713,136.699,0,137,-31.3479,-26.6021,18.2485,0.00729927,137,-0.244235,-0.2535,0.0666534,0,137,-0.942841,-0.885956,0.433279,0.00729927,137,-7.73612,-7.54076,3.67929,0.00729927,137,111.174,132.074,82.9221,0.861314,0,,,,
cand_006,[*:1]c1nnnn1N=[N+]=[N-],azide,9,9,9,-71.6813,-78.2177,26.3846,0,9,-13.3942,-27.4292,29.676,0.333333,9,5.76142,9.6962,8.10968,0.666667,9,-0.00693333,-0.0087,0.00758353,0.111111,9,0.183534,0.275613,0.216623,0.777778,9,2.02081,2.91074,2.23739,0.777778,9,9.87081,-43.9735,101.955,0.333333,0,,,,
cand_006,[*:1]N=[N+]=[N-],azide,2,2,2,-76.3468,-76.3468,5.52455,0,2,-1.55935,-1.55935,36.5855,0.5,2,10.9507,10.9507,1.77413,1,2,-0.00115,-0.00115,0.00162635,0,2,0.396831,0.396831,0.0558063,1,2,4.33298,4.33298,0.628795,1,2,2.9384,2.9384,103.849,0.5,0,,,,
cand_006,[*:1]c1nnnn1[*:2],azole_ring,1,1,1,-3.42557,-3.42557,0,0,1,-12.9693,-12.9693,0,0,1,0,0,0,0,1,-0.0094,-0.0094,0,0,1,0.00685105,0.00685105,0,1,1,0.134503,0.134503,0,1,1,166.592,166.592,0,1,0,,,,
cand_006,[*:1]/N=[N+](\[*:2])[O-],azoxy,1,1,1,-23.0014,-23.0014,0,0,1,-177.62,-177.62,0,0,1,-13.8092,-13.8092,0,0,1,0.0125,0.0125,0,1,1,-0.213471,-0.213471,0,0,1,-2.24465,-2.24465,0,0,1,72.5803,72.5803,0,1,0,,,,
cand_007,[*:1]/N=[N+](/[O-])c1nnnn1[*:2],azoxy,917,917,917,-69.2817,-72.612,48.6227,0.104689,917,-299.398,-299.729,110.628,0.00109051,917,-34.0518,-33.555,14.8978,0,917,-0.220996,-0.2232,0.067374,0.00327154,917,-1.1168,-1.09629,0.3933,0,917,-10.1511,-10.0215,3.46305,0,917,-17.2334,-26.2857,90.0948,0.416576,0,,,,
cand_007,[*:2]n1nnnc1/N=[N+](/[*:1])[O-],azoxy,405,405,405,-66.6056,-73.572,47.1763,0.111111,405,-287.65,-283.306,99.2029,0.00246914,405,-33.4879,-32.8472,14.568,0.00246914,405,-0.225577,-0.2283,0.0561253,0,405,-1.14162,-1.14302,0.388805,0,405,-10.3978,-10.3753,3.44787,0,405,-40.5296,-71.8394,91.5263,0.333333,0,,,,
cand_007,[*:1]n1nnnc1/N=[N+](/[*:2])[O-],azoxy,139,139,139,-89.4734,-98.412,51.9974,0.0647482,139,-282.26,-285.013,111.728,0,139,-30.1311,-27.6274,16.1217,0.0143885,139,-0.249187,-0.2501,0.0745266,0,139,-1.10821,-0.99827,0.463106,0,139,-9.9413,-9.10689,4.00781,0,139,-66.1987,-86.0646,78.248,0.179856,0,,,,
cand_007,[*:1]c1nnnn1[N+](=O)[O-],nitro,8,8,8,10.0718,3.08475,29.172,0.625,8,-40.7966,-51.8971,28.6017,0.125,8,-7.24924,-2.50897,8.27581,0,8,-0.0040375,-0.0022,0.00826143,0.5,8,-0.285209,-0.161914,0.208929,0,8,-3.1182,-1.89509,2.13568,0,8,-95.6369,-126.161,82.359,0.125,0,,,,
cand_007,[*:2]c1nnnn1[*:1],azole_ring,4,4,4,4.31572,5.92885,4.79875,0.75,4,-44.3771,-51.8971,24.3617,0,4,-1.88173,-2.50897,1.25449,0,4,-0.00235,-0.0022,0.00521057,0.5,4,-0.139656,-0.158276,0.0406022,0,4,-1.60769,-1.8091,0.484283,0,4,-138.604,-137.787,6.46925,0,0,,,,
cand_007,[*:1]c1nnnn1[*:2],azole_ring,2,2,2,-1.21674,-1.21674,4.59956,0.5,2,-4.53822,-4.53822,17.1555,0.5,2,0,0,0,0,2,-0.00325,-0.00325,0.0122329,0.5,2,-0.118781,-0.118781,0.0208229,0,2,-1.41336,-1.41336,0.326393,0,2,-70.229,-70.229,70.8747,0,0,,,,
cand_007,[*:1][N+](=O)[O-],nitro,2,2,2,44.0331,44.0331,51.2231,1,2,-38.0251,-38.0251,19.3954,0,2,-7.35708,-7.35708,6.85627,0,2,0.0023,0.0023,0,1,2,-0.257607,-0.257607,0.252699,0,2,-2.83343,-2.83343,2.74949,0,2,-111.618,-111.618,49.8468,0,0,,,,
cand_007,[*:1]c1nnnn1N=[N+]=[N-],azide,1,1,1,-4.46912,-4.46912,0,0,1,-16.669,-16.669,0,0,1,0,0,0,0,1,-0.0119,-0.0119,0,0,1,-0.104057,-0.104057,0,0,1,-1.18257,-1.18257,0,0,1,-20.113,-20.113,0,0,0,,,,
cand_008,[*:1]/N=[N+](/[O-])c1nnnn1N[*:2],azoxy,917,917,917,-77.1031,-80.4249,48.6099,0.0752454,917,-247.602,-247.989,110.768,0.0109051,917,-31.5401,-31.046,14.9038,0.00436205,917,-0.223298,-0.2255,0.0673658,0.00109051,917,-1.03779,-1.01737,0.393536,0.00109051,917,-9.26093,-9.13227,3.46577,0.00109051,917,129.792,120.58,89.9946,0.990185,0,,,,
