pair_id,candidate_id,neighbor_id,context_smiles,candidate_frag,neighbor_frag,d_Hf,d_Q,d_OBgood,d_Pe,d_D,d_P,d_IS,d_nu
256497738,cand_005,cand_006,[*:1]c1nnnn1N=[N+]=[N-].[*:2]c1nnnn1N=[N+]=[N-],[*:1]NN[*:2],[*:1]/N=[N+](\[*:2])[O-],23.0014,177.62,13.8092,-0.0125,0.213471,2.24465,-72.5803,
256497924,cand_051,cand_003,[*:1]c1nnnn1N=[N+]=[N-].[*:2]n1cnnn1,[*:1]/N=[N+](\[*:2])[O-],[*:1]NN[*:2],-19.2476,-222.961,-16.9805,0.0398,-0.146768,-1.68592,58.233,
256497924,cand_003,cand_051,[*:1]c1nnnn1N=[N+]=[N-].[*:2]n1cnnn1,[*:1]NN[*:2],[*:1]/N=[N+](\[*:2])[O-],19.2476,222.961,16.9805,-0.0398,0.146768,1.68592,-58.233,
256498074,cand_054,cand_012,[*:1]c1nnnn1N=[N+]=[N-].[*:2]n1ncnn1,[*:1]/N=[N+](\[*:2])[O-],[*:1]NN[*:2],-22.1272,-236.909,-16.9805,0.0275,-0.176272,-1.93536,-79.9022,
256498074,cand_012,cand_054,[*:1]c1nnnn1N=[N+]=[N-].[*:2]n1ncnn1,[*:1]NN[*:2],[*:1]/N=[N+](\[*:2])[O-],22.1272,236.909,16.9805,-0.0275,0.176272,1.93536,79.9022,
256498110,cand_001,cand_050,[*:1]c1nnnn1N=[N+]=[N-].[*:2]n1nnnc1[N+](=O)[O-],[*:1]/N=[N+](\[*:2])[O-],[*:1]NN[*:2],-23.9382,-134.447,-12.9203,-0.0281,-0.318505,-3.14112,-12.503,
256498110,cand_050,cand_001,[*:1]c1nnnn1N=[N+]=[N-].[*:2]n1nnnc1[N+](=O)[O-],[*:1]NN[*:2],[*:1]/N=[N+](\[*:2])[O-],23.9382,134.447,12.9203,0.0281,0.318505,3.14112,12.503,
256431192,cand_060,cand_059,[*:1]c1nnnn1N.[*:2]c1nnnn1N=[N+]=[N-],[*:1]/N=N\[*:2],[*:1]NN[*:2],-36.4055,-177.189,-6.81352,-0.0075,-0.04203,-0.433303,-43.0665,
256431192,cand_059,cand_060,[*:1]c1nnnn1N.[*:2]c1nnnn1N=[N+]=[N-],[*:1]NN[*:2],[*:1]/N=N\[*:2],36.4055,177.189,6.81352,0.0075,0.04203,0.433303,43.0665,
256437678,cand_051,cand_003,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1cnnn1,[*:1]NNn1cnnn1,-19.2476,-222.961,-16.9805,0.0398,-0.146768,-1.68592,58.233,
256437678,cand_003,cand_051,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1cnnn1,[*:1]/N=[N+](/[O-])n1cnnn1,19.2476,222.961,16.9805,-0.0398,0.146768,1.68592,-58.233,
256437684,cand_054,cand_003,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1ncnn1,[*:1]NNn1cnnn1,-18.6546,-220.303,-16.9805,0.0418,-0.127551,-1.48112,-157.495,
256437684,cand_003,cand_054,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1cnnn1,[*:1]/N=[N+](/[O-])n1ncnn1,18.6546,220.303,16.9805,-0.0418,0.127551,1.48112,157.495,
256437696,cand_060,cand_003,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=N\c1nnnn1N,[*:1]NNn1cnnn1,-36.5628,-72.931,-6.06414,0.0197,-0.102592,-1.1919,-4.1979,
256437696,cand_003,cand_060,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1cnnn1,[*:1]/N=N\c1nnnn1N,36.5628,72.931,6.06414,-0.0197,0.102592,1.1919,4.1979,
256438518,cand_051,cand_012,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1cnnn1,[*:1]NNn1ncnn1,-22.7202,-239.566,-16.9805,0.0255,-0.195489,-2.14016,135.826,
256438518,cand_012,cand_051,[*:1]c1nnnn1N=[N+]=[N-],[*:1]NNn1ncnn1,[*:1]/N=[N+](/[O-])n1cnnn1,22.7202,239.566,16.9805,-0.0255,0.195489,2.14016,-135.826,
256438524,cand_054,cand_012,[*:1]c1nnnn1N=[N+]=[N-],[*:1]/N=[N+](/[O-])n1ncnn1,[*:1]NNn1ncnn1,-22.1272,-236.909,-16.9805,0.0275,-0.176272,-1.93536,-79.9022,
